Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-12,18:00:00,2426.43,2428.16,2423.83,2425.35,0,0
2017-06-12,19:00:00,2425.44,2425.66,2420.64,2420.76,0,0
2017-06-12,20:00:00,2420.74,2425.05,2420.55,2421.21,0,0
2017-06-12,21:00:00,2421.19,2426.51,2421.03,2425.66,0,0
2017-06-12,22:00:00,2425.55,2429.54,2424.14,2429.39,0,0
2017-06-13,16:00:00,2435.36,2438.28,2435.06,2436.01,0,0
2017-06-13,17:00:00,2436.02,2437.22,2432.13,2432.22,0,0
2017-06-13,18:00:00,2432.01,2437.46,2431.38,2436.9,0,0
2017-06-13,19:00:00,2436.78,2439.01,2436.04,2438.84,0,0
2017-06-13,20:00:00,2438.78,2439.66,2436.82,2438.78,0,0
2017-06-13,21:00:00,2438.79,2440.54,2437.96,2438.65,0,0
2017-06-13,22:00:00,2438.64,2441.49,2437.87,2440.35,0,0
2017-06-14,16:00:00,2443.49,2443.49,2438.77,2441.05,0,0
2017-06-14,17:00:00,2441.1,2441.72,2435.59,2436.56,0,0
2017-06-14,18:00:00,2436.54,2438.96,2435.93,2438.56,0,0
2017-06-14,19:00:00,2438.35,2440.05,2436.63,2438.45,0,0
2017-06-14,20:00:00,2438.46,2440.27,2437.9,2438.8,0,0
2017-06-14,21:00:00,2438.78,2442.63,2430.97,2432.77,0,0
2017-06-14,22:00:00,2432.74,2439.38,2428.34,2437.92,0,0
2017-06-15,16:00:00,2421.94,2425.8,2420.12,2424.73,0,0
2017-06-15,17:00:00,2424.66,2426.82,2418.61,2424.1,0,0
2017-06-15,18:00:00,2424.3,2429.79,2424.16,2426.49,0,0
2017-06-15,19:00:00,2426.67,2429,2425.27,2428.73,0,0
2017-06-15,20:00:00,2428.75,2430.62,2426.98,2428.28,0,0
2017-06-15,21:00:00,2428.09,2432.36,2427.41,2430.68,0,0
2017-06-15,22:00:00,2431.02,2433.95,2429.13,2432.46,0,0
2017-06-16,16:00:00,2432.02,2432.45,2424.79,2428.45,0,0
2017-06-16,17:00:00,2428.43,2428.96,2422.9,2424.86,0,0
2017-06-16,18:00:00,2424.83,2429.25,2423.75,2429.16,0,0
2017-06-16,19:00:00,2429.83,2430.91,2429.21,2429.3,0,0
2017-06-16,20:00:00,2429.33,2430.3,2427.91,2429.94,0,0
2017-06-16,21:00:00,2429.93,2431.69,2429.23,2430.82,0,0
2017-06-16,22:00:00,2430.84,2433.15,2428.67,2433.15,0,0
2017-06-19,16:00:00,2442.65,2445.76,2441.86,2445.7,0,0
2017-06-19,17:00:00,2445.99,2452.22,2445.64,2448.89,0,0
2017-06-19,18:00:00,2448.61,2449.96,2447.63,2449.61,0,0
2017-06-19,19:00:00,2449.64,2451.26,2449.62,2450.83,0,0
2017-06-19,20:00:00,2450.91,2453.48,2450.91,2451.12,0,0
2017-06-19,21:00:00,2451.1,2451.25,2448.19,2448.96,0,0
2017-06-19,22:00:00,2448.95,2453.79,2448.89,2453.46,0,0
2017-06-20,16:00:00,2449.47,2449.47,2444.95,2444.99,0,0
2017-06-20,17:00:00,2444.57,2447.9,2444.12,2447.13,0,0
2017-06-20,18:00:00,2447.14,2447.23,2443.6,2443.97,0,0
2017-06-20,19:00:00,2443.93,2445.02,2440.38,2444.26,0,0
2017-06-20,20:00:00,2444.23,2445.01,2443.09,2443.76,0,0
2017-06-20,21:00:00,2443.75,2444.56,2440.42,2441.76,0,0
2017-06-20,22:00:00,2441.93,2443.74,2436.61,2437.03,0,0
2017-06-21,16:00:00,2439.85,2440.43,2437.13,2437.53,0,0
2017-06-21,17:00:00,2437.31,2442.17,2437.31,2439.18,0,0
2017-06-21,18:00:00,2438.92,2438.92,2433.26,2438.38,0,0
2017-06-21,19:00:00,2438.26,2438.29,2433.09,2433.09,0,0
2017-06-21,20:00:00,2433.24,2435.22,2430.75,2431.92,0,0
2017-06-21,21:00:00,2431.66,2437,2430.99,2436.11,0,0
2017-06-21,22:00:00,2435.94,2436.48,2433.38,2435.61,0,0
2017-06-22,16:00:00,2436.79,2437.11,2433.31,2434.97,0,0
2017-06-22,17:00:00,2435.14,2438.75,2433.29,2438.26,0,0
2017-06-22,18:00:00,2438.19,2440.98,2438.06,2440.09,0,0
2017-06-22,19:00:00,2440.07,2441.43,2438.05,2440.44,0,0
2017-06-22,20:00:00,2440.54,2441.59,2439.65,2440.24,0,0
2017-06-22,21:00:00,2440.27,2441.06,2438.99,2440.25,0,0
2017-06-22,22:00:00,2440.26,2440.95,2434.5,2434.5,0,0
2017-06-23,16:00:00,2434.99,2435.45,2431.14,2434.32,0,0
2017-06-23,17:00:00,2434.38,2439.97,2433.84,2438.81,0,0
2017-06-23,18:00:00,2438.85,2439.99,2438.26,2439.48,0,0
2017-06-23,19:00:00,2439.45,2441.1,2438.9,2439.6,0,0
2017-06-23,20:00:00,2439.66,2441.38,2438.7,2440.41,0,0
2017-06-23,21:00:00,2440.44,2440.52,2437.55,2437.78,0,0
2017-06-23,22:00:00,2437.72,2439.43,2433.72,2438.3,0,0
2017-06-26,16:00:00,2444.75,2450.41,2444.75,2450.28,0,0
2017-06-26,17:00:00,2450.19,2450.19,2438.86,2440.83,0,0
2017-06-26,18:00:00,2440.86,2443.12,2437.07,2443.07,0,0
2017-06-26,19:00:00,2443.02,2444.25,2441.16,2443.41,0,0
2017-06-26,20:00:00,2443.56,2443.67,2441.33,2442.32,0,0
2017-06-26,21:00:00,2442.14,2442.57,2440.32,2442.35,0,0
2017-06-26,22:00:00,2442.39,2443.41,2438.45,2439.07,0,0
2017-06-27,16:00:00,2436.34,2436.95,2432.69,2434.65,0,0
2017-06-27,17:00:00,2434.95,2439.68,2434.45,2438.76,0,0
2017-06-27,18:00:00,2438.72,2440.02,2437.91,2438.68,0,0
2017-06-27,19:00:00,2438.69,2439.18,2433.26,2434.05,0,0
2017-06-27,20:00:00,2434.06,2434.45,2424.29,2427.29,0,0
2017-06-27,21:00:00,2427.54,2430.13,2423.93,2428.08,0,0
2017-06-27,22:00:00,2428.03,2428.85,2419.38,2419.38,0,0
2017-06-28,16:00:00,2429.37,2432.84,2428.02,2429.02,0,0
2017-06-28,17:00:00,2428.97,2438.61,2428.97,2436.99,0,0
2017-06-28,18:00:00,2437.04,2440.31,2436.37,2438.87,0,0
2017-06-28,19:00:00,2438.84,2441.39,2438.24,2440.83,0,0
2017-06-28,20:00:00,2440.87,2442.97,2440.26,2441.56,0,0
2017-06-28,21:00:00,2441.56,2442.15,2439.35,2440.78,0,0
2017-06-28,22:00:00,2440.75,2442.9,2439.62,2440.69,0,0
2017-06-29,16:00:00,2442.34,2442.73,2433.47,2435.15,0,0
2017-06-29,17:00:00,2435.13,2435.82,2429.03,2432.68,0,0
2017-06-29,18:00:00,2432.46,2432.97,2419.17,2419.19,0,0
2017-06-29,19:00:00,2419.49,2423.48,2415.98,2416.29,0,0
2017-06-29,20:00:00,2416.31,2418.62,2405.73,2414.32,0,0
2017-06-29,21:00:00,2414.29,2421.55,2412.2,2420.24,0,0
2017-06-29,22:00:00,2420.16,2425.52,2419.42,2419.7,0,0
2017-06-30,16:00:00,2428.25,2430.98,2426.43,2426.84,0,0
2017-06-30,17:00:00,2426.92,2426.92,2421.75,2424.85,0,0
2017-06-30,18:00:00,2424.75,2427.08,2421.93,2426.56,0,0
2017-06-30,19:00:00,2426.45,2427.1,2424.32,2425.12,0,0
2017-06-30,20:00:00,2425.2,2427.73,2425.13,2427.05,0,0
2017-06-30,21:00:00,2426.26,2430.99,2426.09,2430.74,0,0
2017-06-30,22:00:00,2430.72,2432.71,2423.41,2423.41,0,0
2017-07-03,16:00:00,2431.75,2437.17,2431.75,2436.26,0,0
2017-07-03,17:00:00,2437.78,2439.17,2435.15,2437.89,0,0
2017-07-03,18:00:00,2437.27,2437.86,2435.75,2436.81,0,0
2017-07-03,19:00:00,2436.84,2436.95,2429,2429,0,0
2017-07-03,20:00:00,2428.81,2429.02,2428.77,2429.01,0,0
2017-07-05,16:00:00,2430.78,2432.35,2425.5,2426.78,0,0
2017-07-05,17:00:00,2426.61,2429.77,2422.11,2429.38,0,0
2017-07-05,18:00:00,2429.49,2432.05,2429.22,2429.36,0,0
2017-07-05,19:00:00,2429.38,2432.25,2428.98,2431.95,0,0
2017-07-05,20:00:00,2431.96,2433.64,2431.34,2431.34,0,0
2017-07-05,21:00:00,2431.48,2434.9,2429.68,2431.05,0,0
2017-07-05,22:00:00,2431.1,2434.25,2429.63,2432.54,0,0
2017-07-06,16:00:00,2423.1,2424.16,2416.58,2417.6,0,0
2017-07-06,17:00:00,2417.36,2418.68,2413.02,2416.31,0,0
